Ticker,Company name
V03.SI,VENTURE CORPORATION LIMITED
D05.SI,DBS GROUP HOLDINGS LTD
C52.SI,COMFORTDELGRO CORPORATION LTD
BN4.SI,KEPPEL CORPORATION LIMITED
U11.SI,UNITED OVERSEAS BANK LTD
C38U.SI,CAPITALAND INTEGRATED COMM TR
A17U.SI,ASCENDAS REAL ESTATE INV TRUST
Z74.SI,SINGTEL
O39.SI,OVERSEA-CHINESE BANKING CORP
N2IU.SI,MAPLETREE COMMERCIAL TRUST
Y92.SI,THAI BEVERAGE PUBLIC CO LTD
F34.SI,WILMAR INTERNATIONAL LIMITED
ME8U.SI,MAPLETREE INDUSTRIAL TRUST
AJBU.SI,KEPPEL DC REIT
C09.SI,CITY DEVELOPMENTS LIMITED
M44U.SI,MAPLETREE LOGISTICS TRUST
U96.SI,SEMBCORP INDUSTRIES LTD
9CI.SI,CAPITALAND INVESTMENT LIMITED
BS6.SI,YANGZIJIANG SHIPBLDG HLDGS LTD
G13.SI,GENTING SINGAPORE LIMITED
S58.SI,SATS LTD.
BUOU.SI,FRASERS LOGISTICS & COMMERCIAL TRUST
H78.SI,HONGKONG LAND HOLDINGS LIMITED
U14.SI,UOL GROUP LIMITED
S68.SI,SINGAPORE EXCHANGE LIMITED
D01.SI,DAIRY FARM INT'L HOLDINGS LTD
C6L.SI,SINGAPORE AIRLINES LTD
S63.SI,SINGAPORE TECH ENGINEERING LTD
C07.SI,JARDINE CYCLE & CARRIAGE LTD
J36.SI,JARDINE MATHESON HLDGS LTD
