Ticker,Company name
V03.SI,VENTURE CORPORATION LIMITED
D05.SI,DBS GROUP HOLDINGS LTD
C52.SI,COMFORTDELGRO CORPORATION LTD
BN4.SI,KEPPEL CORPORATION LIMITED
C38U.SI,CAPITALAND INTEGRATED COMM TR
Z74.SI,SINGTEL
M44U.SI,MAPLETREE LOGISTICS TRUST
A17U.SI,ASCENDAS REAL ESTATE INV TRUST
U11.SI,UNITED OVERSEAS BANK LTD
O39.SI,OVERSEA-CHINESE BANKING CORP
BS6.SI,YANGZIJIANG SHIPBLDG HLDGS LTD
N2IU.SI,MAPLETREE COMMERCIAL TRUST
Y92.SI,THAI BEVERAGE PUBLIC CO LTD
F34.SI,WILMAR INTERNATIONAL LIMITED
ME8U.SI,MAPLETREE INDUSTRIAL TRUST
AJBU.SI,KEPPEL DC REIT
C09.SI,CITY DEVELOPMENTS LIMITED
U96.SI,SEMBCORP INDUSTRIES LTD
S58.SI,SATS LTD.
U14.SI,UOL GROUP LIMITED
9CI.SI,CAPITALAND INVESTMENT LIMITED
S68.SI,SINGAPORE EXCHANGE LIMITED
G13.SI,GENTING SINGAPORE LIMITED
S63.SI,SINGAPORE TECH ENGINEERING LTD
BUOU.SI,FRASERS LOGISTICS & COMMERCIAL TRUST
D01.SI,DAIRY FARM INT'L HOLDINGS LTD
C6L.SI,SINGAPORE AIRLINES LTD
H78.SI,HONGKONG LAND HOLDINGS LIMITED
C07.SI,JARDINE CYCLE & CARRIAGE LTD
J36.SI,JARDINE MATHESON HLDGS LTD
